latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
34.2366,-118.0065,350.3,4.3,1.9,2020-09-06,2016,Aqua,MODIS,92,6.03,307.3,423.3,D,0
34.2375,-117.9836,310.7,4.3,1.9,2020-09-08,0902,Aqua,MODIS,72,6.03,292.6,70,N,0
34.2359,-117.987,396.4,1.2,1.1,2020-09-12,2117,Aqua,MODIS,100,6.03,308.8,290.2,D,0
34.2371,-117.9897,307,1.2,1.1,2020-09-14,0547,Terra,MODIS,70,6.03,293.8,8.9,N,0
34.2351,-118.0015,315.6,1.2,1.1,2020-09-14,0547,Terra,MODIS,92,6.03,296.1,16.8,N,0
34.2365,-118.0215,319.7,1.2,1.1,2020-09-14,1003,Aqua,MODIS,97,6.03,295.1,22.4,N,0
34.2342,-118.0083,315.7,1.2,1.1,2020-09-14,1003,Aqua,MODIS,92,6.03,295.4,17.5,N,0
34.2413,-117.9912,304.3,1.2,1.1,2020-09-14,1003,Aqua,MODIS,30,6.03,292,7.5,N,0
34.2343,-117.992,334.9,3.6,1.8,2020-09-14,1928,Terra,MODIS,85,6.03,300.5,173.8,D,0
34.2341,-118.0091,393.9,1,1,2020-09-14,2105,Aqua,MODIS,100,6.03,315.9,204.9,D,0
34.2372,-117.9876,327,1,1,2020-09-14,2105,Aqua,MODIS,52,6.03,308,11.9,D,0
34.2445,-118.0002,356.8,1,1,2020-09-14,2105,Aqua,MODIS,98,6.03,309.6,65.9,D,0
34.243,-118.0109,333.6,1,1,2020-09-14,2105,Aqua,MODIS,74,6.03,304.4,21.9,D,0
34.2356,-117.9984,379.2,1,1,2020-09-14,2105,Aqua,MODIS,100,6.03,315.8,137.3,D,0
34.2407,-118.0214,315.6,2.2,1.4,2020-09-15,0630,Terra,MODIS,72,6.03,294.8,39.8,N,0
34.2556,-117.9985,312.1,2.2,1.4,2020-09-15,0630,Terra,MODIS,47,6.03,294.2,32.6,N,0
34.2682,-118.0038,304.3,2.2,1.4,2020-09-15,0630,Terra,MODIS,14,6.03,292.5,17.7,N,0
34.268,-118.0004,307.6,3.4,1.7,2020-09-15,0908,Aqua,MODIS,70,6.03,291.9,47,N,0
34.2636,-117.9836,380,1.2,1.1,2020-09-15,1833,Terra,MODIS,100,6.03,314.3,169.1,D,0
34.2557,-117.9982,333.3,1.2,1.1,2020-09-15,1833,Terra,MODIS,81,6.03,314.3,23.9,D,0
34.2651,-117.9956,399.2,1.2,1.1,2020-09-15,1833,Terra,MODIS,100,6.03,321.2,288.5,D,0
34.2666,-118.0078,404.5,1.2,1.1,2020-09-15,1833,Terra,MODIS,100,6.03,324.6,330.9,D,0
34.2681,-118.0194,365.9,1.2,1.1,2020-09-15,1833,Terra,MODIS,100,6.03,313.9,113.3,D,0
34.2717,-118.0023,409.2,3.6,1.8,2020-09-15,2148,Aqua,MODIS,100,6.03,314.1,1960.6,D,0
34.2561,-117.9947,351.8,3.6,1.8,2020-09-15,2148,Aqua,MODIS,95,6.03,312.6,353.8,D,0
34.2654,-118.0089,413.8,3.6,1.8,2020-09-15,2148,Aqua,MODIS,100,6.03,318.7,2174.5,D,0
34.265,-117.9871,325.1,2.3,1.5,2020-09-16,1916,Terra,MODIS,57,6.03,309.5,43.2,D,0
34.2708,-118.0141,321.9,2.3,1.5,2020-09-16,1916,Terra,MODIS,50,6.03,307.4,36,D,0
34.2577,-117.9887,337.8,1.2,1.1,2020-09-16,2053,Aqua,MODIS,82,6.03,312,30.5,D,0
34.2673,-117.9902,331.3,1.2,1.1,2020-09-16,2053,Aqua,MODIS,63,6.03,311.7,21,D,0
34.2553,-117.9845,333.7,2.3,1.5,2020-09-17,2136,Aqua,MODIS,68,6.03,315.3,52.5,D,0
34.2439,-118.017,335.6,1.5,1.2,2020-09-18,1904,Terra,MODIS,82,6.03,306,43.3,D,0
34.2473,-118.009,330.4,1.5,1.2,2020-09-18,1904,Terra,MODIS,44,6.03,307.7,28.7,D,0
34.259,-118.0111,394.2,2.7,1.6,2020-09-20,2029,Aqua,MODIS,100,6.03,319.6,900.4,D,0
34.2449,-118.0085,337.1,2.7,1.6,2020-09-20,2029,Aqua,MODIS,81,6.03,312.4,120.4,D,0
34.2543,-118.0043,356.7,2.7,1.6,2020-09-20,2029,Aqua,MODIS,98,6.03,315.9,281.5,D,0
34.2511,-118.0196,332,4.5,1.9,2020-09-21,1934,Terra,MODIS,83,6.03,300.6,205.3,D,0
34.2697,-118.0212,322,4.5,1.9,2020-09-21,1934,Terra,MODIS,58,6.03,301.1,103.5,D,0
34.2526,-118.0142,330.7,4.5,1.9,2020-09-21,1934,Terra,MODIS,78,6.03,301.6,186.3,D,0
